,sentence,sentence_opposite,DP,DP_opposite,D,D_opposite,A,A_opposite,N,N_opposite,ADV,ADV_opposite,V,V_opposite,other_args,other_args_opposite,label,pairID,slen
4111,Those disorganized pedestrians often make the mirrors nowadays.,That disorganized pedestrian often makes the mirrors nowadays.,Those pedestrians,That pedestrian,Those,That,disorganized,disorganized,pedestrians,pedestrian,often,often,make,makes,"['the', 'mirrors']","['the', 'mirrors']",1,4111,8
4113,This unsure pedestrian often leads the actor nowadays.,These unsure pedestrians often lead the actor nowadays.,This pedestrian,These pedestrians,This,These,unsure,unsure,pedestrian,pedestrians,often,often,leads,lead,"['the', 'actor']","['the', 'actor']",0,4113,8
4115,This careful student always grows the peppers nowadays.,These careful students always grow the peppers nowadays.,This student,These students,This,These,careful,careful,student,students,always,always,grows,grow,"['the', 'peppers']","['the', 'peppers']",0,4115,8
4116,Those ordinary commentaries sometimes confuse the legislatures nowadays.,That ordinary commentary sometimes confuses the legislatures nowadays.,Those commentaries,That commentary,Those,That,ordinary,ordinary,commentaries,commentary,sometimes,sometimes,confuse,confuses,"['the', 'legislatures']","['the', 'legislatures']",1,4116,8
4117,These bad couches often hinder the universities nowadays.,This bad couch often hinders the universities nowadays.,These couches,This couch,These,This,bad,bad,couches,couch,often,often,hinder,hinders,"['the', 'universities']","['the', 'universities']",1,4117,8
4119,These broad books rarely bother the boy nowadays.,This broad book rarely bothers the boy nowadays.,These books,This book,These,This,broad,broad,books,book,rarely,rarely,bother,bothers,"['the', 'boy']","['the', 'boy']",1,4119,8
4120,This scared driver sometimes hides the banks nowadays.,These scared drivers sometimes hide the banks nowadays.,This driver,These drivers,This,These,scared,scared,driver,drivers,sometimes,sometimes,hides,hide,"['the', 'banks']","['the', 'banks']",0,4120,8
4121,This ill patient always bores the doctor nowadays.,These ill patients always bore the doctor nowadays.,This patient,These patients,This,These,ill,ill,patient,patients,always,always,bores,bore,"['the', 'doctor']","['the', 'doctor']",0,4121,8
4122,Those careless waiters often breed the horses nowadays.,That careless waiter often breeds the horses nowadays.,Those waiters,That waiter,Those,That,careless,careless,waiters,waiter,often,often,breed,breeds,"['the', 'horses']","['the', 'horses']",1,4122,8
4123,This real lawyer often hears the driver nowadays.,These real lawyers often hear the driver nowadays.,This lawyer,These lawyers,This,These,real,real,lawyer,lawyers,often,often,hears,hear,"['the', 'driver']","['the', 'driver']",0,4123,8
4125,That cruel lady hardly alarms the senators nowadays.,Those cruel ladies hardly alarm the senators nowadays.,That lady,Those ladies,That,Those,cruel,cruel,lady,ladies,hardly,hardly,alarms,alarm,"['the', 'senators']","['the', 'senators']",0,4125,8
4126,Those big hospitals ever admire the casseroles nowadays.,That big hospital ever admires the casseroles nowadays.,Those hospitals,That hospital,Those,That,big,big,hospitals,hospital,ever,ever,admire,admires,"['the', 'casseroles']","['the', 'casseroles']",1,4126,8
4127,These real contractors sometimes heal the electricians nowadays.,This real contractor sometimes heals the electricians nowadays.,These contractors,This contractor,These,This,real,real,contractors,contractor,sometimes,sometimes,heal,heals,"['the', 'electricians']","['the', 'electricians']",1,4127,8
4128,That authentic mall often confuses the actor nowadays.,Those authentic malls often confuse the actor nowadays.,That mall,Those malls,That,Those,authentic,authentic,mall,malls,often,often,confuses,confuse,"['the', 'actor']","['the', 'actor']",0,4128,8
4129,These unusual dermatologists ever discuss the closets nowadays.,This unusual dermatologist ever discusses the closets nowadays.,These dermatologists,This dermatologist,These,This,unusual,unusual,dermatologists,dermatologist,ever,ever,discuss,discusses,"['the', 'closets']","['the', 'closets']",1,4129,8
4130,This fake student hardly destroys the bicycles nowadays.,These fake students hardly destroy the bicycles nowadays.,This student,These students,This,These,fake,fake,student,students,hardly,hardly,destroys,destroy,"['the', 'bicycles']","['the', 'bicycles']",0,4130,8
4132,These ugly guests barely praise the waiters nowadays.,This ugly guest barely praises the waiters nowadays.,These guests,This guest,These,This,ugly,ugly,guests,guest,barely,barely,praise,praises,"['the', 'waiters']","['the', 'waiters']",1,4132,8
4133,That bad actor seldom helps the student nowadays.,Those bad actors seldom help the student nowadays.,That actor,Those actors,That,Those,bad,bad,actor,actors,seldom,seldom,helps,help,"['the', 'student']","['the', 'student']",0,4133,8
4134,These good organizations often hinder the banks nowadays.,This good organization often hinders the banks nowadays.,These organizations,This organization,These,This,good,good,organizations,organization,often,often,hinder,hinders,"['the', 'banks']","['the', 'banks']",1,4134,8
4135,These boring lawyers hardly freeze the water nowadays.,This boring lawyer hardly freezes the water nowadays.,These lawyers,This lawyer,These,This,boring,boring,lawyers,lawyer,hardly,hardly,freeze,freezes,"['the', 'water']","['the', 'water']",1,4135,8
4136,That great bike scarcely underwhelms the drivers nowadays.,Those great bikes scarcely underwhelm the drivers nowadays.,That bike,Those bikes,That,Those,great,great,bike,bikes,scarcely,scarcely,underwhelms,underwhelm,"['the', 'drivers']","['the', 'drivers']",0,4136,8
4137,This skinny waiter hardly reveals the doctor nowadays.,These skinny waiters hardly reveal the doctor nowadays.,This waiter,These waiters,This,These,skinny,skinny,waiter,waiters,hardly,hardly,reveals,reveal,"['the', 'doctor']","['the', 'doctor']",0,4137,8
4138,That cold actress ever exposes the lawyers nowadays.,Those cold actresses ever expose the lawyers nowadays.,That actress,Those actresses,That,Those,cold,cold,actress,actresses,ever,ever,exposes,expose,"['the', 'lawyers']","['the', 'lawyers']",0,4138,8
4139,Those sad dermatologists always disturb the dermatologists nowadays.,That sad dermatologist always disturbs the dermatologists nowadays.,Those dermatologists,That dermatologist,Those,That,sad,sad,dermatologists,dermatologist,always,always,disturb,disturbs,"['the', 'dermatologists']","['the', 'dermatologists']",1,4139,8
4140,This uncertain teacher rarely approaches the doctors nowadays.,These uncertain teachers rarely approach the doctors nowadays.,This teacher,These teachers,This,These,uncertain,uncertain,teacher,teachers,rarely,rarely,approaches,approach,"['the', 'doctors']","['the', 'doctors']",0,4140,8
4142,That good aria seldom impresses the associations nowadays.,Those good arias seldom impress the associations nowadays.,That aria,Those arias,That,Those,good,good,aria,arias,seldom,seldom,impresses,impress,"['the', 'associations']","['the', 'associations']",0,4142,8
4143,This false window always scares the boy nowadays.,These false windows always scare the boy nowadays.,This window,These windows,This,These,false,false,window,windows,always,always,scares,scare,"['the', 'boy']","['the', 'boy']",0,4143,8
4144,This displeased dancer barely sees the bikes nowadays.,These displeased dancers barely see the bikes nowadays.,This dancer,These dancers,This,These,displeased,displeased,dancer,dancers,barely,barely,sees,see,"['the', 'bikes']","['the', 'bikes']",0,4144,8
4146,These thin doctors hardly investigate the hairdressers nowadays.,This thin doctor hardly investigates the hairdressers nowadays.,These doctors,This doctor,These,This,thin,thin,doctors,doctor,hardly,hardly,investigate,investigates,"['the', 'hairdressers']","['the', 'hairdressers']",1,4146,8
4148,Those great libraries barely know the guy nowadays.,That great library barely knows the guy nowadays.,Those libraries,That library,Those,That,great,great,libraries,library,barely,barely,know,knows,"['the', 'guy']","['the', 'guy']",1,4148,8
4149,That ill student hardly investigates the cashier nowadays.,Those ill students hardly investigate the cashier nowadays.,That student,Those students,That,Those,ill,ill,student,students,hardly,hardly,investigates,investigate,"['the', 'cashier']","['the', 'cashier']",0,4149,8
4150,These important legislatures rarely praise the waiters nowadays.,This important legislature rarely praises the waiters nowadays.,These legislatures,This legislature,These,This,important,important,legislatures,legislature,rarely,rarely,praise,praises,"['the', 'waiters']","['the', 'waiters']",1,4150,8
4151,Those broad muffins rarely annoy the bank nowadays.,That broad muffins rarely annoys the bank nowadays.,Those muffins,That muffins,Those,That,broad,broad,muffins,muffins,rarely,rarely,annoy,annoys,"['the', 'bank']","['the', 'bank']",1,4151,8
4152,These short adults scarcely understand the drivers nowadays.,This short adult scarcely understands the drivers nowadays.,These adults,This adult,These,This,short,short,adults,adult,scarcely,scarcely,understand,understands,"['the', 'drivers']","['the', 'drivers']",1,4152,8
4154,Those rough drawings often hinder the guests nowadays.,That rough drawing often hinders the guests nowadays.,Those drawings,That drawing,Those,That,rough,rough,drawings,drawing,often,often,hinder,hinders,"['the', 'guests']","['the', 'guests']",1,4154,8
4155,These good tutors hardly sink the boat nowadays.,This good tutor hardly sinks the boat nowadays.,These tutors,This tutor,These,This,good,good,tutors,tutor,hardly,hardly,sink,sinks,"['the', 'boat']","['the', 'boat']",1,4155,8
4156,That troubled guy seldom admires the dogs nowadays.,Those troubled guys seldom admire the dogs nowadays.,That guy,Those guys,That,Those,troubled,troubled,guy,guys,seldom,seldom,admires,admire,"['the', 'dogs']","['the', 'dogs']",0,4156,8
4157,This young lawyer often eats the tomatoes nowadays.,These young lawyers often eat the tomatoes nowadays.,This lawyer,These lawyers,This,These,young,young,lawyer,lawyers,often,often,eats,eat,"['the', 'tomatoes']","['the', 'tomatoes']",0,4157,8
4158,This real association always disgusts the bank nowadays.,These real associations always disgust the bank nowadays.,This association,These associations,This,These,real,real,association,associations,always,always,disgusts,disgust,"['the', 'bank']","['the', 'bank']",0,4158,8
4159,This large mountain often harms the driver nowadays.,These large mountains often harm the driver nowadays.,This mountain,These mountains,This,These,large,large,mountain,mountains,often,often,harms,harm,"['the', 'driver']","['the', 'driver']",0,4159,8
4160,Those organized students seldom understand the story nowadays.,That organized student seldom understands the story nowadays.,Those students,That student,Those,That,organized,organized,students,student,seldom,seldom,understand,understands,"['the', 'story']","['the', 'story']",1,4160,8
4161,These good tutors rarely embarrass the waitresses nowadays.,This good tutor rarely embarrasses the waitresses nowadays.,These tutors,This tutor,These,This,good,good,tutors,tutor,rarely,rarely,embarrass,embarrasses,"['the', 'waitresses']","['the', 'waitresses']",1,4161,8
4162,These delighted ladies sometimes write the commentary nowadays.,This delighted lady sometimes writes the commentary nowadays.,These ladies,This lady,These,This,delighted,delighted,ladies,lady,sometimes,sometimes,write,writes,"['the', 'commentary']","['the', 'commentary']",1,4162,8
4163,This dry student always questions the doctors nowadays.,These dry students always question the doctors nowadays.,This student,These students,This,These,dry,dry,student,students,always,always,questions,question,"['the', 'doctors']","['the', 'doctors']",0,4163,8
4164,Those confident contractors sometimes admire the casseroles nowadays.,That confident contractor sometimes admires the casseroles nowadays.,Those contractors,That contractor,Those,That,confident,confident,contractors,contractor,sometimes,sometimes,admire,admires,"['the', 'casseroles']","['the', 'casseroles']",1,4164,8
4166,Those delighted senators often criticize the restaurant nowadays.,That delighted senator often criticizes the restaurant nowadays.,Those senators,That senator,Those,That,delighted,delighted,senators,senator,often,often,criticize,criticizes,"['the', 'restaurant']","['the', 'restaurant']",1,4166,8
4168,This bad cashier always reveals the hills nowadays.,These bad cashiers always reveal the hills nowadays.,This cashier,These cashiers,This,These,bad,bad,cashier,cashiers,always,always,reveals,reveal,"['the', 'hills']","['the', 'hills']",0,4168,8
4169,These little dermatologists rarely find the window nowadays.,This little dermatologist rarely finds the window nowadays.,These dermatologists,This dermatologist,These,This,little,little,dermatologists,dermatologist,rarely,rarely,find,finds,"['the', 'window']","['the', 'window']",1,4169,8
4170,This organized dentist ever tears the hat nowadays.,These organized dentists ever tear the hat nowadays.,This dentist,These dentists,This,These,organized,organized,dentist,dentists,ever,ever,tears,tear,"['the', 'hat']","['the', 'hat']",0,4170,8
4171,These concealed windows rarely impress the actors nowadays.,This concealed window rarely impresses the actors nowadays.,These windows,This window,These,This,concealed,concealed,windows,window,rarely,rarely,impress,impresses,"['the', 'actors']","['the', 'actors']",1,4171,8
4172,This cruel teenager hardly forgives the contractors nowadays.,These cruel teenagers hardly forgive the contractors nowadays.,This teenager,These teenagers,This,These,cruel,cruel,teenager,teenagers,hardly,hardly,forgives,forgive,"['the', 'contractors']","['the', 'contractors']",0,4172,8
4176,This boring dancer ever sees the water nowadays.,These boring dancers ever see the water nowadays.,This dancer,These dancers,This,These,boring,boring,dancer,dancers,ever,ever,sees,see,"['the', 'water']","['the', 'water']",0,4176,8
4178,This sick turtle scarcely breaks the ships nowadays.,These sick turtles scarcely break the ships nowadays.,This turtle,These turtles,This,These,sick,sick,turtle,turtles,scarcely,scarcely,breaks,break,"['the', 'ships']","['the', 'ships']",0,4178,8
4179,This black tile ever astounds the boy nowadays.,These black tiles ever astound the boy nowadays.,This tile,These tiles,This,These,black,black,tile,tiles,ever,ever,astounds,astound,"['the', 'boy']","['the', 'boy']",0,4179,8
4180,This employed guest sometimes conceals the shoe nowadays.,These employed guests sometimes conceal the shoe nowadays.,This guest,These guests,This,These,employed,employed,guest,guests,sometimes,sometimes,conceals,conceal,"['the', 'shoe']","['the', 'shoe']",0,4180,8
4181,Those determined teachers always dislike the window nowadays.,That determined teacher always dislikes the window nowadays.,Those teachers,That teacher,Those,That,determined,determined,teachers,teacher,always,always,dislike,dislikes,"['the', 'window']","['the', 'window']",1,4181,8
4182,This ill lady hardly grows the pepper nowadays.,These ill ladies hardly grow the pepper nowadays.,This lady,These ladies,This,These,ill,ill,lady,ladies,hardly,hardly,grows,grow,"['the', 'pepper']","['the', 'pepper']",0,4182,8
4183,That clever actress sometimes writes the story nowadays.,Those clever actresses sometimes write the story nowadays.,That actress,Those actresses,That,Those,clever,clever,actress,actresses,sometimes,sometimes,writes,write,"['the', 'story']","['the', 'story']",0,4183,8
4184,Those yellow mushrooms sometimes aid the boys nowadays.,That yellow mushroom sometimes aids the boys nowadays.,Those mushrooms,That mushroom,Those,That,yellow,yellow,mushrooms,mushroom,sometimes,sometimes,aid,aids,"['the', 'boys']","['the', 'boys']",1,4184,8
4185,This unlucky adult sometimes hides the closets nowadays.,These unlucky adults sometimes hide the closets nowadays.,This adult,These adults,This,These,unlucky,unlucky,adult,adults,sometimes,sometimes,hides,hide,"['the', 'closets']","['the', 'closets']",0,4185,8
4186,That dumb waitress barely hides the children nowadays.,Those dumb waitresses barely hide the children nowadays.,That waitress,Those waitresses,That,Those,dumb,dumb,waitress,waitresses,barely,barely,hides,hide,"['the', 'children']","['the', 'children']",0,4186,8
4187,That careful organization barely hates the guys nowadays.,Those careful organizations barely hate the guys nowadays.,That organization,Those organizations,That,Those,careful,careful,organization,organizations,barely,barely,hates,hate,"['the', 'guys']","['the', 'guys']",0,4187,8
4188,That important scarf scarcely aids the waitress nowadays.,Those important scarves scarcely aid the waitress nowadays.,That scarf,Those scarves,That,Those,important,important,scarf,scarves,scarcely,scarcely,aids,aid,"['the', 'waitress']","['the', 'waitress']",0,4188,8
4189,Those important podiatrists rarely disturb the customers nowadays.,That important podiatrist rarely disturbs the customers nowadays.,Those podiatrists,That podiatrist,Those,That,important,important,podiatrists,podiatrist,rarely,rarely,disturb,disturbs,"['the', 'customers']","['the', 'customers']",1,4189,8
4190,This hot teacher sometimes bites the podiatrist nowadays.,These hot teachers sometimes bite the podiatrist nowadays.,This teacher,These teachers,This,These,hot,hot,teacher,teachers,sometimes,sometimes,bites,bite,"['the', 'podiatrist']","['the', 'podiatrist']",0,4190,8
4191,That small plumber always sinks the boats nowadays.,Those small plumbers always sink the boats nowadays.,That plumber,Those plumbers,That,Those,small,small,plumber,plumbers,always,always,sinks,sink,"['the', 'boats']","['the', 'boats']",0,4191,8
4194,These orange bikes always aid the government nowadays.,This orange bike always aids the government nowadays.,These bikes,This bike,These,This,orange,orange,bikes,bike,always,always,aid,aids,"['the', 'government']","['the', 'government']",1,4194,8
4195,Those good malls rarely disturb the doctor nowadays.,That good mall rarely disturbs the doctor nowadays.,Those malls,That mall,Those,That,good,good,malls,mall,rarely,rarely,disturb,disturbs,"['the', 'doctor']","['the', 'doctor']",1,4195,8
4196,Those great oncologists seldom forgive the people nowadays.,That great oncologist seldom forgives the people nowadays.,Those oncologists,That oncologist,Those,That,great,great,oncologists,oncologist,seldom,seldom,forgive,forgives,"['the', 'people']","['the', 'people']",1,4196,8
4198,This sick dermatologist always scans the documentaries nowadays.,These sick dermatologists always scan the documentaries nowadays.,This dermatologist,These dermatologists,This,These,sick,sick,dermatologist,dermatologists,always,always,scans,scan,"['the', 'documentaries']","['the', 'documentaries']",0,4198,8
4199,Those yellow hills always shock the child nowadays.,That yellow hill always shocks the child nowadays.,Those hills,That hill,Those,That,yellow,yellow,hills,hill,always,always,shock,shocks,"['the', 'child']","['the', 'child']",1,4199,8
4200,That wet doctor often lights the lights nowadays.,Those wet doctors often light the lights nowadays.,That doctor,Those doctors,That,Those,wet,wet,doctor,doctors,often,often,lights,light,"['the', 'lights']","['the', 'lights']",0,4200,8
4202,Those confident guests scarcely kiss the waiter nowadays.,That confident guest scarcely kisses the waiter nowadays.,Those guests,That guest,Those,That,confident,confident,guests,guest,scarcely,scarcely,kiss,kisses,"['the', 'waiter']","['the', 'waiter']",1,4202,8
4204,Those tiny handymen barely throw the canoes nowadays.,That tiny handyman barely throws the canoes nowadays.,Those handymen,That handyman,Those,That,tiny,tiny,handymen,handyman,barely,barely,throw,throws,"['the', 'canoes']","['the', 'canoes']",1,4204,8
4205,This old hat seldom confuses the girl nowadays.,These old hats seldom confuse the girl nowadays.,This hat,These hats,This,These,old,old,hat,hats,seldom,seldom,confuses,confuse,"['the', 'girl']","['the', 'girl']",0,4205,8
4207,That white bicycle always alarms the committees nowadays.,Those white bicycles always alarm the committees nowadays.,That bicycle,Those bicycles,That,Those,white,white,bicycle,bicycles,always,always,alarms,alarm,"['the', 'committees']","['the', 'committees']",0,4207,8
4208,That careful government ever stuns the drivers nowadays.,Those careful governments ever stun the drivers nowadays.,That government,Those governments,That,Those,careful,careful,government,governments,ever,ever,stuns,stun,"['the', 'drivers']","['the', 'drivers']",0,4208,8
4209,This intriguing boy seldom meets the patient nowadays.,These intriguing boys seldom meet the patient nowadays.,This boy,These boys,This,These,intriguing,intriguing,boy,boys,seldom,seldom,meets,meet,"['the', 'patient']","['the', 'patient']",0,4209,8
4210,These unattractive patients scarcely bend the glass nowadays.,This unattractive patient scarcely bends the glass nowadays.,These patients,This patient,These,This,unattractive,unattractive,patients,patient,scarcely,scarcely,bend,bends,"['the', 'glass']","['the', 'glass']",1,4210,8
4211,That unusual bank scarcely describes the plumber nowadays.,Those unusual banks scarcely describe the plumber nowadays.,That bank,Those banks,That,Those,unusual,unusual,bank,banks,scarcely,scarcely,describes,describe,"['the', 'plumber']","['the', 'plumber']",0,4211,8
4212,These beautiful dermatologists rarely understand the oncologist nowadays.,This beautiful dermatologist rarely understands the oncologist nowadays.,These dermatologists,This dermatologist,These,This,beautiful,beautiful,dermatologists,dermatologist,rarely,rarely,understand,understands,"['the', 'oncologist']","['the', 'oncologist']",1,4212,8
4213,These elderly customers ever eat the cilantro nowadays.,This elderly customer ever eats the cilantro nowadays.,These customers,This customer,These,This,elderly,elderly,customers,customer,ever,ever,eat,eats,"['the', 'cilantro']","['the', 'cilantro']",1,4213,8
4214,This smart guest seldom gets the fork nowadays.,These smart guests seldom get the fork nowadays.,This guest,These guests,This,These,smart,smart,guest,guests,seldom,seldom,gets,get,"['the', 'fork']","['the', 'fork']",0,4214,8
4215,These good guests seldom describe the waiters nowadays.,This good guest seldom describes the waiters nowadays.,These guests,This guest,These,This,good,good,guests,guest,seldom,seldom,describe,describes,"['the', 'waiters']","['the', 'waiters']",1,4215,8
4216,Those disorganized banks often describe the patient nowadays.,That disorganized bank often describes the patient nowadays.,Those banks,That bank,Those,That,disorganized,disorganized,banks,bank,often,often,describe,describes,"['the', 'patient']","['the', 'patient']",1,4216,8
4217,This smart boy often hides the boy nowadays.,These smart boys often hide the boy nowadays.,This boy,These boys,This,These,smart,smart,boy,boys,often,often,hides,hide,"['the', 'boy']","['the', 'boy']",0,4217,8
4218,These terrible teachers always understand the associate nowadays.,This terrible teacher always understands the associate nowadays.,These teachers,This teacher,These,This,terrible,terrible,teachers,teacher,always,always,understand,understands,"['the', 'associate']","['the', 'associate']",1,4218,8
4219,That terrible rug ever bores the oncologists nowadays.,Those terrible rugs ever bore the oncologists nowadays.,That rug,Those rugs,That,Those,terrible,terrible,rug,rugs,ever,ever,bores,bore,"['the', 'oncologists']","['the', 'oncologists']",0,4219,8
4221,This healthy dentist hardly knows the actress nowadays.,These healthy dentists hardly know the actress nowadays.,This dentist,These dentists,This,These,healthy,healthy,dentist,dentists,hardly,hardly,knows,know,"['the', 'actress']","['the', 'actress']",0,4221,8
4224,That big electrician scarcely sees the coat nowadays.,Those big electricians scarcely see the coat nowadays.,That electrician,Those electricians,That,Those,big,big,electrician,electricians,scarcely,scarcely,sees,see,"['the', 'coat']","['the', 'coat']",0,4224,8
4225,This good lawyer often throws the unicycles nowadays.,These good lawyers often throw the unicycles nowadays.,This lawyer,These lawyers,This,These,good,good,lawyer,lawyers,often,often,throws,throw,"['the', 'unicycles']","['the', 'unicycles']",0,4225,8
4226,That content associate sometimes purchases the bike nowadays.,Those content associates sometimes purchase the bike nowadays.,That associate,Those associates,That,Those,content,content,associate,associates,sometimes,sometimes,purchases,purchase,"['the', 'bike']","['the', 'bike']",0,4226,8
4228,That narrow lamp rarely overwhelms the doctor nowadays.,Those narrow lamps rarely overwhelm the doctor nowadays.,That lamp,Those lamps,That,Those,narrow,narrow,lamp,lamps,rarely,rarely,overwhelms,overwhelm,"['the', 'doctor']","['the', 'doctor']",0,4228,8
4229,That scared doctor scarcely forgives the customers nowadays.,Those scared doctors scarcely forgive the customers nowadays.,That doctor,Those doctors,That,Those,scared,scared,doctor,doctors,scarcely,scarcely,forgives,forgive,"['the', 'customers']","['the', 'customers']",0,4229,8
4231,That small glove seldom underwhelms the teachers nowadays.,Those small gloves seldom underwhelm the teachers nowadays.,That glove,Those gloves,That,Those,small,small,glove,gloves,seldom,seldom,underwhelms,underwhelm,"['the', 'teachers']","['the', 'teachers']",0,4231,8
4232,These real plumbers seldom drive the truck nowadays.,This real plumber seldom drives the truck nowadays.,These plumbers,This plumber,These,This,real,real,plumbers,plumber,seldom,seldom,drive,drives,"['the', 'truck']","['the', 'truck']",1,4232,8
4233,This unsure guy hardly meets the pedestrians nowadays.,These unsure guys hardly meet the pedestrians nowadays.,This guy,These guys,This,These,unsure,unsure,guy,guys,hardly,hardly,meets,meet,"['the', 'pedestrians']","['the', 'pedestrians']",0,4233,8
4236,Those dry doctors hardly annoy the dancers nowadays.,That dry doctor hardly annoys the dancers nowadays.,Those doctors,That doctor,Those,That,dry,dry,doctors,doctor,hardly,hardly,annoy,annoys,"['the', 'dancers']","['the', 'dancers']",1,4236,8
4237,That broad screen scarcely irritates the associate nowadays.,Those broad screens scarcely irritate the associate nowadays.,That screen,Those screens,That,Those,broad,broad,screen,screens,scarcely,scarcely,irritates,irritate,"['the', 'associate']","['the', 'associate']",0,4237,8
4238,That unsure waiter seldom fights the associates nowadays.,Those unsure waiters seldom fight the associates nowadays.,That waiter,Those waiters,That,Those,unsure,unsure,waiter,waiters,seldom,seldom,fights,fight,"['the', 'associates']","['the', 'associates']",0,4238,8
4242,Those delighted electricians often hire the dancers nowadays.,That delighted electrician often hires the dancers nowadays.,Those electricians,That electrician,Those,That,delighted,delighted,electricians,electrician,often,often,hire,hires,"['the', 'dancers']","['the', 'dancers']",1,4242,8
4243,That youthful adult scarcely conceals the glove nowadays.,Those youthful adults scarcely conceal the glove nowadays.,That adult,Those adults,That,Those,youthful,youthful,adult,adults,scarcely,scarcely,conceals,conceal,"['the', 'glove']","['the', 'glove']",0,4243,8
4244,That unusual icicle sometimes embarrasses the plumbers nowadays.,Those unusual icicles sometimes embarrass the plumbers nowadays.,That icicle,Those icicles,That,Those,unusual,unusual,icicle,icicles,sometimes,sometimes,embarrasses,embarrass,"['the', 'plumbers']","['the', 'plumbers']",0,4244,8
4245,Those tiny children hardly like the painting nowadays.,That tiny child hardly likes the painting nowadays.,Those children,That child,Those,That,tiny,tiny,children,child,hardly,hardly,like,likes,"['the', 'painting']","['the', 'painting']",1,4245,8
4246,Those cool boys ever shake the adult nowadays.,That cool boy ever shakes the adult nowadays.,Those boys,That boy,Those,That,cool,cool,boys,boy,ever,ever,shake,shakes,"['the', 'adult']","['the', 'adult']",1,4246,8
4248,These short electricians often annoy the woman nowadays.,This short electrician often annoys the woman nowadays.,These electricians,This electrician,These,This,short,short,electricians,electrician,often,often,annoy,annoys,"['the', 'woman']","['the', 'woman']",1,4248,8
4249,That valuable bird always upsets the dentists nowadays.,Those valuable birds always upset the dentists nowadays.,That bird,Those birds,That,Those,valuable,valuable,bird,birds,always,always,upsets,upset,"['the', 'dentists']","['the', 'dentists']",0,4249,8
4250,This obese partner sometimes sings the arias nowadays.,These obese partners sometimes sing the arias nowadays.,This partner,These partners,This,These,obese,obese,partner,partners,sometimes,sometimes,sings,sing,"['the', 'arias']","['the', 'arias']",0,4250,8
4251,These little doctors often freeze the beer nowadays.,This little doctor often freezes the beer nowadays.,These doctors,This doctor,These,This,little,little,doctors,doctor,often,often,freeze,freezes,"['the', 'beer']","['the', 'beer']",1,4251,8
4252,Those giant senators always draw the sweater nowadays.,That giant senator always draws the sweater nowadays.,Those senators,That senator,Those,That,giant,giant,senators,senator,always,always,draw,draws,"['the', 'sweater']","['the', 'sweater']",1,4252,8
4253,These upset tutors ever visit the women nowadays.,This upset tutor ever visits the women nowadays.,These tutors,This tutor,These,This,upset,upset,tutors,tutor,ever,ever,visit,visits,"['the', 'women']","['the', 'women']",1,4253,8
4255,That important actor always conceals the driver nowadays.,Those important actors always conceal the driver nowadays.,That actor,Those actors,That,Those,important,important,actor,actors,always,always,conceals,conceal,"['the', 'driver']","['the', 'driver']",0,4255,8
4256,That determined tutor hardly descends the ladder nowadays.,Those determined tutors hardly descend the ladder nowadays.,That tutor,Those tutors,That,Those,determined,determined,tutor,tutors,hardly,hardly,descends,descend,"['the', 'ladder']","['the', 'ladder']",0,4256,8
4257,These disorganized teachers sometimes visit the lakes nowadays.,This disorganized teacher sometimes visits the lakes nowadays.,These teachers,This teacher,These,This,disorganized,disorganized,teachers,teacher,sometimes,sometimes,visit,visits,"['the', 'lakes']","['the', 'lakes']",1,4257,8
4258,This exposed contractor sometimes reveals the blouse nowadays.,These exposed contractors sometimes reveal the blouse nowadays.,This contractor,These contractors,This,These,exposed,exposed,contractor,contractors,sometimes,sometimes,reveals,reveal,"['the', 'blouse']","['the', 'blouse']",0,4258,8
4260,These attractive dancers scarcely pass the hills nowadays.,This attractive dancer scarcely passes the hills nowadays.,These dancers,This dancer,These,This,attractive,attractive,dancers,dancer,scarcely,scarcely,pass,passes,"['the', 'hills']","['the', 'hills']",1,4260,8
4261,That giant podiatrist ever eats the banana nowadays.,Those giant podiatrists ever eat the banana nowadays.,That podiatrist,Those podiatrists,That,Those,giant,giant,podiatrist,podiatrists,ever,ever,eats,eat,"['the', 'banana']","['the', 'banana']",0,4261,8
4266,That big student often sinks the canoe nowadays.,Those big students often sink the canoe nowadays.,That student,Those students,That,Those,big,big,student,students,often,often,sinks,sink,"['the', 'canoe']","['the', 'canoe']",0,4266,8
4268,That good dentist scarcely references the documentary nowadays.,Those good dentists scarcely reference the documentary nowadays.,That dentist,Those dentists,That,Those,good,good,dentist,dentists,scarcely,scarcely,references,reference,"['the', 'documentary']","['the', 'documentary']",0,4268,8
4270,That employed adult barely shoots the lawyer nowadays.,Those employed adults barely shoot the lawyer nowadays.,That adult,Those adults,That,Those,employed,employed,adult,adults,barely,barely,shoots,shoot,"['the', 'lawyer']","['the', 'lawyer']",0,4270,8
4271,Those organized patients barely hurt the student nowadays.,That organized patient barely hurts the student nowadays.,Those patients,That patient,Those,That,organized,organized,patients,patient,barely,barely,hurt,hurts,"['the', 'student']","['the', 'student']",1,4271,8
4280,This good girl ever fixes the screen nowadays.,These good girls ever fix the screen nowadays.,This girl,These girls,This,These,good,good,girl,girls,ever,ever,fixes,fix,"['the', 'screen']","['the', 'screen']",0,4280,8
4281,This tiny guest seldom cleans the chair nowadays.,These tiny guests seldom clean the chair nowadays.,This guest,These guests,This,These,tiny,tiny,guest,guests,seldom,seldom,cleans,clean,"['the', 'chair']","['the', 'chair']",0,4281,8
